run_id,target_speed,t,x_gt,y_gt,z_gt,vx_gt,vy_gt,vz_gt,speed_gt,roll_gt,pitch_gt,yaw_gt,angular_speed_gt,tag_visible,tag_x_map_visual,tag_y_map_visual,tag_error_x_vs_gt,tag_error_y_vs_gt,yolo_detected,yolo_confidence,yolo_center_x,yolo_center_y
vehicle_motion_0p5,0.5,38.156,26.655951733311365,8.327311715458269e-08,0.04999999016044743,0.5000003349510135,-6.464474372350968e-10,-1.5568864259843165e-06,0.5000003349510135,4.375180629897796e-09,-9.022651209516416e-10,-4.1318043890646935e-08,2.1258065993495027e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.208,26.681951638603074,8.32502483544037e-08,0.04999999648601694,0.49999631017944784,-2.597264458877146e-10,1.5905413447802909e-06,0.49999631017944784,-3.984899367362234e-09,8.69546886604873e-10,-4.1311640422967494e-08,2.126583206965414e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.26,26.70795154921726,8.322581690998117e-08,0.04999999016044743,0.49999994758100075,-6.464474384050611e-10,-1.55688642598415e-06,0.49999994758100075,4.375180629525639e-09,-9.022651198370243e-10,-4.130451173799284e-08,2.125806598387431e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.312,26.733951442599977,8.320294810979707e-08,0.04999999648601694,0.49999641882807333,-2.597264459307015e-10,1.5905413448082131e-06,0.49999641882807333,-3.984899368346103e-09,8.695468857604327e-10,-4.129810827031185e-08,2.1265832069151483e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.364,26.759951379330005,8.317851666536762e-08,0.04999999016044743,0.5000005529680954,-6.464474382638184e-10,-1.5568864259981943e-06,0.5000005529680954,4.375180628553344e-09,-9.022651196747916e-10,-4.129097958533501e-08,2.125806598397527e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.416,26.785951296734186,8.315564786518998e-08,0.04999999648601694,0.49999654588199677,-2.597264458836912e-10,1.5905413447596409e-06,0.49999654588199677,-3.9848993665852186e-09,8.695468861525868e-10,-4.128457611765628e-08,2.1265832060114777e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.468,26.811951227138042,8.313121642076169e-08,0.04999999016044743,0.5000006573846342,-6.464474389564795e-10,-1.556886426060811e-06,0.5000006573846342,4.375180631353885e-09,-9.022651209066548e-10,-4.127744743267994e-08,2.1258065995339636e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.52,26.837951165319794,8.310834762058137e-08,0.04999999648601694,0.49999698600735576,-2.597264459139726e-10,1.5905413447455964e-06,0.49999698600735576,-3.984899368644604e-09,8.695468862247803e-10,-4.12710439650005e-08,2.1265832068732964e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.572,26.863951109769875,8.308391617616177e-08,0.04999999016044743,0.5000005706355797,-6.464474379857798e-10,-1.5568864259980279e-06,0.5000005706355797,4.37518063115674e-09,-9.022651204304131e-10,-4.1263915280027214e-08,2.1258065993875184e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.624,26.88995102804143,8.306104737598591e-08,0.04999999648601694,0.49999656889547106,-2.597264459266781e-10,1.5905413447386575e-06,0.49999656889547106,-3.984899365507951e-09,8.695468868278234e-10,-4.1257511812349354e-08,2.1265832059506e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.676,26.91595095260209,8.303661593156744e-08,0.04999999016044743,0.5000002214250815,-6.464474381998674e-10,-1.5568864260051332e-06,0.5000002214250815,4.375180627964894e-09,-9.02265119862498e-10,-4.125038312737656e-08,2.1258065984201894e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.728,26.941950854709596,8.301374713139237e-08,0.04999999648601694,0.4999962883097346,-2.597264459423482e-10,1.5905413447389906e-06,0.4999962883097346,-3.984899367778283e-09,8.695468858079198e-10,-4.124397965969913e-08,2.1265832068077602e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.78,26.967950766328237,8.298931568697504e-08,0.04999999016044743,0.4999999959793378,-6.464474381291401e-10,-1.5568864260122387e-06,0.4999999959793378,4.3751806303689915e-09,-9.022651209226637e-10,-4.123685097472686e-08,2.1258065985060006e-06,False,,,,,False,,,
vehicle_motion_0p5,0.5,38.832,26.993950658039655,8.296644688680062e-08,0.04999999648601694,0.4999961083518688,-2.597264459501833e-10,1.5905413447249464e-06,0.4999961083518688,-3.984899367880694e-09,8.695468861940493e-10,-4.123044750704981e-08,2.1265832067815225e-06,False,,,,,False,,,
